mobid,mobname,level,category_label,species_label,boss,icon_url,file
120100,蘑菇仔,2,普通怪物,植物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.0120100.img.stand.0.png,120100_蘑菇仔.png
130100,木妖,4,普通怪物,植物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.0130100.img.stand.0.png,130100_木妖.png
130101,红蜗牛,4,普通怪物,动物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.0130101.img.stand.0.png,130101_红蜗牛.png
210100,绿水灵,6,普通怪物,精灵,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.0210100.img.stand.0.png,210100_绿水灵.png
1110100,绿蘑菇,15,普通怪物,植物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.1110100.img.stand.0.png,1110100_绿蘑菇.png
1110101,黑木妖,10,普通怪物,植物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.1110101.img.stand.0.png,1110101_黑木妖.png
1120100,三眼章鱼,12,普通怪物,动物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.1120100.img.stand.0.png,1120100_三眼章鱼.png
1130100,斧木妖,17,普通怪物,植物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.1130100.img.stand.0.png,1130100_斧木妖.png
1140100,古木妖,19,普通怪物,植物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.1140100.img.stand.0.png,1140100_古木妖.png
1210100,猪猪,7,普通怪物,动物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.1210100.img.stand.0.png,1210100_猪猪.png
1210101,漂漂猪,10,普通怪物,动物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.1210101.img.stand.0.png,1210101_漂漂猪.png
1210102,花蘑菇,8,普通怪物,植物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.1210102.img.stand.0.png,1210102_花蘑菇.png
1210103,蓝水灵,15,普通怪物,精灵,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.1210103.img.stand.0.png,1210103_蓝水灵.png
2100100,母沙沙兔,20,普通怪物,动物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2100100.img.stand.0.png,2100100_母沙沙兔.png
2100101,公沙沙兔,21,普通怪物,动物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2100101.img.stand.0.png,2100101_公沙沙兔.png
2100102,仙人掌宝宝,22,普通怪物,植物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2100102.img.stand.0.png,2100102_仙人掌宝宝.png
2100103,仙人掌妈妈,25,普通怪物,植物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2100103.img.stand.0.png,2100103_仙人掌妈妈.png
2100104,仙人掌爸爸,28,普通怪物,植物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2100104.img.stand.0.png,2100104_仙人掌爸爸.png
2100105,沙漠蛇先生,23,普通怪物,爬虫,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2100105.img.stand.0.png,2100105_沙漠蛇先生.png
2100106,耳罩壁虎,24,普通怪物,爬虫,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2100106.img.stand.0.png,2100106_耳罩壁虎.png
2100107,围巾壁虎,27,普通怪物,爬虫,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2100107.img.stand.0.png,2100107_围巾壁虎.png
2100108,丁满,29,普通怪物,动物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2100108.img.stand.0.png,2100108_丁满.png
2110200,刺蘑菇,22,普通怪物,植物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2110200.img.stand.0.png,2110200_刺蘑菇.png
2110300,沙漠土拨鼠,24,普通怪物,动物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2110300.img.stand.0.png,2110300_沙漠土拨鼠.png
2110301,沙漠毒蝎,29,普通怪物,动物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2110301.img.stand.0.png,2110301_沙漠毒蝎.png
2130100,黑斧木妖,22,普通怪物,植物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2130100.img.stand.0.png,2130100_黑斧木妖.png
2130103,青蛇,21,普通怪物,爬虫,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2130103.img.stand.0.png,2130103_青蛇.png
2220000,红蜗牛王,20,BOSS,动物,1,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2220000.img.stand.0.png,2220000_红蜗牛王.png
2220100,蓝蘑菇,20,普通怪物,植物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2220100.img.stand.0.png,2220100_蓝蘑菇.png
2230100,火独眼兽,27,普通怪物,爬虫,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2230100.img.stand.0.png,2230100_火独眼兽.png
2230101,无魂蘑菇,24,普通怪物,不死,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2230101.img.stand.0.png,2230101_无魂蘑菇.png
2230102,野猪,25,普通怪物,动物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2230102.img.stand.0.png,2230102_野猪.png
2230103,绿蜘蛛,23,普通怪物,动物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2230103.img.stand.0.png,2230103_绿蜘蛛.png
2230104,红蜘蛛,28,普通怪物,动物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2230104.img.stand.0.png,2230104_红蜘蛛.png
2230105,小海马,23,普通怪物,鱼,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2230105.img.stand.0.png,2230105_小海马.png
2230106,大海马,25,普通怪物,鱼,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2230106.img.stand.0.png,2230106_大海马.png
2230107,独角小丑鱼,24,普通怪物,鱼,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2230107.img.fly.0.png,2230107_独角小丑鱼.png
2230108,海胆,22,普通怪物,鱼,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2230108.img.stand.0.png,2230108_海胆.png
2230109,蓝泡泡翻车鱼,28,普通怪物,鱼,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2230109.img.fly.0.png,2230109_蓝泡泡翻车鱼.png
2230110,木面怪人,23,普通怪物,恶魔,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2230110.img.stand.0.png,2230110_木面怪人.png
2230111,石面怪人,24,普通怪物,恶魔,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2230111.img.stand.0.png,2230111_石面怪人.png
2230200,花花青鲇鱼,29,普通怪物,鱼,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2230200.img.stand.0.png,2230200_花花青鲇鱼.png
2300100,蝙蝠,20,普通怪物,动物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.2300100.img.fly.0.png,2300100_蝙蝠.png
3000000,石球,30,普通怪物,无机物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3000000.img.stand.0.png,3000000_石球.png
3000001,蝴蝶精,30,普通怪物,精灵,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3000001.img.stand.0.png,3000001_蝴蝶精.png
3000002,蝴蝶精,30,普通怪物,精灵,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3000001.img.stand.0.png,3000002_蝴蝶精.png
3000003,蝴蝶精,30,普通怪物,精灵,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3000001.img.stand.0.png,3000003_蝴蝶精.png
3000004,蝴蝶精,30,普通怪物,精灵,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3000001.img.stand.0.png,3000004_蝴蝶精.png
3000005,玩具棕熊,30,普通怪物,无机物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3000005.img.stand.0.png,3000005_玩具棕熊.png
3000006,大龙虾,30,普通怪物,鱼,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3000006.img.stand.0.png,3000006_大龙虾.png
3100101,沙漠矮人,32,普通怪物,精灵,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3100101.img.stand.0.png,3100101_沙漠矮人.png
3100102,秃鹫先生,30,普通怪物,鸟,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3100102.img.stand.0.png,3100102_秃鹫先生.png
3110100,鳄鱼,32,普通怪物,爬虫,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3110100.img.stand.0.png,3110100_鳄鱼.png
3110101,玩具粉熊,32,普通怪物,无机物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3110101.img.stand.0.png,3110101_玩具粉熊.png
3110102,玩具白鼠,32,普通怪物,无机物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3110102.img.stand.0.png,3110102_玩具白鼠.png
3110300,魔方,32,普通怪物,无机物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3110300.img.stand.0.png,3110300_魔方.png
3110301,红色沙漠矮人,32,普通怪物,精灵,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3110301.img.stand.0.png,3110301_红色沙漠矮人.png
3110302,黑妖苗苗,35,普通怪物,无机物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3110302.img.stand.0.png,3110302_黑妖苗苗.png
3110303,黑妖苗苗兄弟,38,普通怪物,无机物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3110303.img.stand.0.png,3110303_黑妖苗苗兄弟.png
3210100,火野猪,32,普通怪物,动物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3210100.img.stand.0.png,3210100_火野猪.png
3210200,幼红独角狮,33,普通怪物,动物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3210200.img.stand.0.png,3210200_幼红独角狮.png
3210201,幼黄独角狮,33,普通怪物,动物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3210201.img.stand.0.png,3210201_幼黄独角狮.png
3210202,幼蓝独角狮,33,普通怪物,动物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3210202.img.stand.0.png,3210202_幼蓝独角狮.png
3210203,玩具熊猫,36,普通怪物,无机物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3210203.img.stand.0.png,3210203_玩具熊猫.png
3210204,玩具鸭,34,普通怪物,无机物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3210204.img.stand.0.png,3210204_玩具鸭.png
3210205,玩具黑鼠,34,普通怪物,无机物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3210205.img.stand.0.png,3210205_玩具黑鼠.png
3210206,直升机,36,普通怪物,无机物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3210206.img.fly.0.png,3210206_直升机.png
3210207,计时啾啾,34,普通怪物,精灵,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3210207.img.stand.0.png,3210207_计时啾啾.png
3210208,水老鼠,36,普通怪物,无机物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3210208.img.stand.0.png,3210208_水老鼠.png
3210450,潜水企鹅,36,普通怪物,动物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3210450.img.stand.0.png,3210450_潜水企鹅.png
3210800,猴子,37,普通怪物,动物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3210800.img.stand.0.png,3210800_猴子.png
3220000,树妖王,35,BOSS,植物,1,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3220000.img.stand.0.png,3220000_树妖王.png
3220001,大宇,38,BOSS,植物,1,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3220001.img.stand.0.png,3220001_大宇.png
3230100,风独眼兽,35,普通怪物,爬虫,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3230100.img.stand.0.png,3230100_风独眼兽.png
3230101,小幽灵,35,普通怪物,不死,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3230101.img.stand.0.png,3230101_小幽灵.png
3230102,红螃蟹,37,普通怪物,鱼,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3230102.img.stand.0.png,3230102_红螃蟹.png
3230103,吹泡泡鱼皇,38,普通怪物,无机物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3230103.img.stand.0.png,3230103_吹泡泡鱼皇.png
3230104,胖球鱼,32,普通怪物,鱼,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3230104.img.fly.0.png,3230104_胖球鱼.png
3230200,星光精灵,35,普通怪物,精灵,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3230200.img.stand.0.png,3230200_星光精灵.png
3230300,幼魔精灵,35,普通怪物,精灵,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3230300.img.stand.0.png,3230300_幼魔精灵.png
3230301,幼魔精灵2,35,普通怪物,精灵,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3230300.img.stand.0.png,3230301_幼魔精灵2.png
3230302,吹泡泡双鱼,35,普通怪物,无机物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3230302.img.stand.0.png,3230302_吹泡泡双鱼.png
3230303,玩具战机,37,普通怪物,无机物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3230303.img.fly.0.png,3230303_玩具战机.png
3230304,运输机,38,普通怪物,无机物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3230304.img.fly.0.png,3230304_运输机.png
3230305,木马骑兵,39,普通怪物,无机物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3230305.img.stand.0.png,3230305_木马骑兵.png
3230306,小恶魔,37,普通怪物,精灵,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3230306.img.stand.0.png,3230306_小恶魔.png
3230307,飞行雀,31,普通怪物,鸟,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3230307.img.fly.0.png,3230307_飞行雀.png
3230308,空军雀,39,普通怪物,鸟,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.3230308.img.fly.0.png,3230308_空军雀.png
